emp_no,first_name,last_name,from_date,title
81050,Moti,Sridhar,1990-06-21,Senior Engineer
81052,Ziya,Levergood,1997-05-27,Staff
81068,Uno,Ecklund,1986-10-23,Assistant Engineer
81070,Mariangiola,Rosaz,1987-11-30,Senior Engineer
81079,Nahla,Mellouli,1995-07-07,Staff
81142,Heon,Zastre,1998-09-27,Senior Staff
81149,Tianruo,Georg,1985-09-29,Engineer
81152,Macha,Junet,1987-05-30,Senior Engineer
81158,Filipp,Percebois,1987-09-22,Senior Engineer
81166,Tayeb,Przulj,1988-12-10,Staff
81167,Yurij,Francisci,1985-04-10,Senior Staff
81177,Bodh,Berendt,1998-10-02,Assistant Engineer
81185,Takushi,Kossowski,1988-03-13,Engineer
81189,Serge,Broomell,1986-04-13,Staff
81201,Werner,Knightly,1985-07-11,Senior Staff
81207,Barry,Hofstetter,1985-07-02,Senior Engineer
81208,Sumant,Rindone,1987-11-24,Senior Engineer
81218,Nectarios,Impagliazzo,1989-12-26,Engineer
81245,Matk,Krzyzanowski,1996-01-17,Engineer
81264,Dannz,Erdmenger,1985-09-19,Senior Staff
81271,Kendra,Bade,1986-12-03,Staff
81286,Richara,Fontet,1988-03-10,Senior Staff
81292,Ortrun,Copas,1986-11-08,Senior Engineer
81299,Visit,Ghemri,1988-05-31,Staff
81303,Ghassan,Berstel,1987-04-10,Staff
81324,Marl,Rossi,1988-07-05,Engineer
81329,Divine,Gire,1986-07-22,Senior Engineer
81338,Xiaoqiang,Erol,1992-07-28,Staff
81340,Baocai,Poehlman,1987-09-24,Staff
81344,Leif,Hiraishi,1999-08-14,Engineer
81358,Premal,Quadeer,1988-05-23,Staff
81368,Frederique,Ghemri,1992-08-27,Senior Engineer
81376,Gunilla,Fabrizio,1987-05-18,Engineer
81398,Hyuncheol,Gulak,1987-12-23,Technique Leader
81401,Monique,Kaltofen,1992-03-18,Staff
81407,Hsiangchu,Rosin,1988-03-15,Staff
81408,Atreye,Picaronny,1988-01-25,Staff
81411,Eben,Stenning,1988-08-11,Engineer
81412,Zhenhua,Menyhert,1985-02-13,Senior Staff
81430,Jackson,Milicia,1992-01-10,Senior Staff
81438,Mack,McClure,1986-06-17,Engineer
81440,Fumitake,Melski,1985-03-09,Engineer
81449,Arve,Halloran,1988-01-11,Staff
81466,Zejun,Krone,1993-11-07,Senior Engineer
81468,Aiman,Bodoff,1987-05-16,Engineer
81479,Girolamo,Vuskovic,1991-07-30,Senior Engineer
81494,Hatsukazu,Litzkow,1986-11-21,Technique Leader
81503,Kolar,Rabejac,1987-10-24,Senior Engineer
81508,Bokyung,Janocha,1985-12-17,Staff
81509,Munehiko,Trachtenberg,1990-09-05,Senior Engineer
81510,Mamdouh,Penttonen,1988-04-08,Staff
81517,Xiong,Reutenauer,1988-01-27,Senior Staff
81527,Arnd,Bouloucos,1985-07-09,Senior Staff
81537,Beshir,Pezzoli,1986-07-07,Staff
81543,Jianhui,Ishibashi,1988-11-21,Senior Staff
81549,Takahira,Leslie,1987-11-04,Engineer
81553,Adin,Fortenbacher,1987-04-23,Senior Staff
81564,Martijn,Michaels,1992-10-28,Senior Engineer
81572,Ingemar,DiGiano,1987-07-07,Engineer
81587,Mani,Pluym,1991-02-07,Senior Engineer
81589,Bernd,Wilfing,1988-06-03,Engineer
81592,Monique,Rehfuss,1985-09-30,Senior Staff
81594,Saddek,Spinelli,1991-03-30,Technique Leader
81599,Oldrich,Emmerich,1988-06-08,Staff
81603,Suzette,Zuberek,1988-02-04,Senior Staff
81645,Jasminko,Reinhart,1987-09-28,Engineer
81648,Jungsoon,Doering,1985-02-19,Engineer
81649,Xuedong,Krohn,1986-04-18,Staff
81653,Adit,Brobst,1996-04-19,Engineer
81658,Rosine,Pearson,1987-04-20,Engineer
81660,Arno,Schaap,1986-01-29,Senior Staff
81672,Kazuhito,Aloia,1998-09-25,Engineer
81676,Sham,Wrigley,1990-08-11,Senior Staff
81710,Girolamo,Hennings,1988-05-31,Senior Staff
81717,Toney,Anguita,1987-10-16,Staff
81730,Sergi,DuBourdieux,1992-12-16,Staff
81747,Vitali,Tanemo,1996-02-14,Staff
81751,Ulises,Salinas,1997-01-01,Staff
81755,Peer,Beeson,1997-02-26,Senior Staff
81767,Augustine,Matzov,1988-10-17,Staff
81785,Patricia,Rando,1987-01-24,Staff
81805,Gianluca,Bail,1994-10-28,Engineer
81810,Baruch,Schaap,1985-04-12,Technique Leader
81815,Chaitali,Kuhnemann,1991-06-29,Engineer
81817,Demos,Aloia,1988-06-12,Engineer
81839,Leah,Curless,1995-05-01,Engineer
81847,Ymte,Figueira,1985-08-04,Senior Engineer
81849,Debatosh,Bednarek,1998-08-24,Senior Staff
81851,Dante,Heystek,1987-12-26,Senior Engineer
81856,Masamitsu,Maierhofer,1991-05-02,Staff
81861,Tesuro,Walstra,1988-11-15,Senior Engineer
81872,Shin,Pashtan,1998-06-14,Engineer
81876,Chenye,Shackell,1987-10-29,Senior Staff
81896,Kwan,Bashian,1988-11-10,Engineer
81900,Mario,Bernatsky,1989-08-14,Senior Engineer
81907,Jouko,Merkl,1999-05-09,Staff
81940,Ioana,Siksek,1986-01-15,Senior Engineer
81973,Shigenori,Panienski,1987-08-22,Staff
81981,Weicheng,Welham,1998-07-19,Engineer
81988,Lene,Pews,1986-04-15,Staff
81998,Mari,Iwayama,1988-05-25,Staff
81999,Mabhin,Vigier,1996-07-17,Senior Staff
82002,King,Farris,1985-05-23,Senior Staff
82003,Saeko,Tomescu,1995-10-24,Engineer
82014,Quingbo,Ariola,1996-07-08,Senior Engineer
82024,Yongqiao,Grospietsch,1986-11-04,Senior Engineer
82027,Henk,Ellozy,1994-11-07,Senior Staff
82040,Avishai,Velasco,1997-01-10,Senior Engineer
82045,Tse,Bolsens,1986-07-31,Senior Engineer
82052,Lidong,Rahier,1987-07-13,Senior Staff
82059,Satosi,Ecklund,1994-06-24,Senior Staff
82060,Arvind,Michaeli,1998-02-03,Engineer
82063,Shaunak,Plump,1998-09-06,Engineer
82065,Christophe,Anger,1988-06-26,Senior Engineer
82066,Masasuke,Birch,1988-01-17,Staff
82107,Gunilla,Heping,1992-04-02,Senior Staff
82110,Vugranam,Gecsel,1988-11-09,Staff
82123,Tokuyasu,Dayana,1987-09-24,Senior Engineer
82131,Mayuko,Kulisch,1987-07-30,Senior Staff
82137,Panayotis,Thibadeau,1985-03-17,Staff
82139,Satoru,Zucker,1985-12-17,Engineer
82144,Marek,Dusink,1990-05-11,Senior Staff
82145,Zhongwei,Pagter,1999-12-13,Staff
82151,Keiichiro,Terekhov,1994-05-16,Senior Staff
82162,Shigeo,Kroft,1986-06-06,Engineer
82187,Stevo,Marakhovsky,1986-04-13,Senior Staff
82194,Geoff,Eastman,1986-05-25,Engineer
82206,Yishay,Majewski,1993-11-29,Engineer
82211,Sugwoo,Melter,1988-09-18,Senior Engineer
82222,Sampalli,Luit,1992-06-13,Senior Engineer
82227,Xiaocheng,Sethi,1993-04-26,Senior Engineer
82234,Christoper,Woycyznski,1987-08-20,Senior Engineer
82237,Shen,Zaccaria,1986-03-14,Senior Staff
82252,Kwangyoen,Edelhoff,1994-11-01,Engineer
82255,Amabile,Sudbeck,1988-04-30,Staff
82257,Hugo,Linares,1998-04-14,Engineer
82263,Vishv,Haumacher,1996-07-03,Staff
82276,Frederique,Genin,1988-01-07,Senior Staff
82278,Tomokazu,Murillo,1986-01-15,Senior Staff
82295,Manohar,Parfitt,2000-01-20,Engineer
82305,Mahmut,Biros,1988-01-19,Senior Engineer
82309,Hideyuki,Ramsak,1989-01-19,Staff
82310,Jinxi,Panangaden,1985-02-21,Senior Engineer
82318,Branimir,Hashii,1986-03-20,Senior Staff
82324,Ashish,Knightly,1997-03-16,Staff
82339,Jeanna,Schrift,1988-01-15,Senior Engineer
82349,Tsz,Birjandi,1988-08-17,Staff
82350,Nahla,Stifter,1989-07-19,Engineer
82354,Badri,Trogemann,1993-09-05,Staff
82367,Miyeon,Halloran,1997-10-28,Staff
82371,Frederique,Erev,1986-05-17,Senior Staff
82379,Sanjai,Bala,1985-03-15,Engineer
82385,Sanjai,Biran,1998-11-18,Staff
82388,Munehiko,Zucker,1988-04-18,Senior Engineer
82391,Mayuko,McAffer,1987-12-20,Staff
82397,Mart,Peris,1987-04-11,Senior Staff
82419,Karoline,Rindone,1996-07-05,Senior Engineer
82422,Tesuya,Falby,1994-03-19,Senior Staff
82434,Bojan,Mullainathan,1993-08-14,Engineer
82443,Vincent,Perry,1986-02-14,Senior Engineer
82457,Vidar,Pauthner,1991-04-14,Engineer
82460,Claude,Zhang,1985-05-09,Senior Engineer
82478,Vishwani,Ginneken,1985-03-19,Engineer
82491,Lalit,Lorho,1999-05-20,Engineer
82495,Jahangir,Perly,1999-08-04,Staff
82530,Ioana,Morton,1993-05-06,Staff
82540,Aleksander,Bratten,1991-11-15,Senior Engineer
82544,Eberhardt,Keirsey,1989-04-06,Senior Staff
82553,Barry,Georgakopoulos,1996-03-25,Staff
82555,Fabrizio,Kavraki,1986-04-14,Engineer
82557,Cheong,McClure,1996-08-17,Technique Leader
82566,Mary,Portugali,1995-03-04,Engineer
82568,Giri,Flanders,1987-05-09,Senior Staff
82571,Padma,Argence,1998-04-01,Senior Engineer
82572,Moie,Brattka,1985-04-01,Staff
82573,Genevieve,Berendt,1998-05-19,Staff
82585,Berry,Bodoff,1986-06-28,Senior Staff
82591,Ugo,Lampe,1987-08-08,Engineer
82595,Valdiodio,Zeleznik,1992-06-02,Staff
82598,Palash,Chenoweth,1985-05-25,Senior Engineer
82601,Munehiko,Nitto,1996-08-18,Senior Engineer
82626,Adit,Reeken,1988-11-01,Engineer
82634,Volkmar,Plesums,1986-01-27,Technique Leader
82644,Kellyn,Pleszkun,1994-08-23,Senior Engineer
82646,Shugo,Plump,1990-05-03,Senior Engineer
82668,Feipei,Menhardt,1986-05-23,Senior Staff
82678,Poorav,Haldar,1988-06-21,Senior Engineer
82683,Pantung,Dayang,1997-03-19,Senior Staff
82689,Zijian,Crouzet,1988-12-25,Senior Engineer
82704,Marla,Lunn,1986-01-14,Senior Engineer
82705,Ingmar,Ladret,1986-06-16,Senior Staff
82708,Rajmohan,Basagni,1988-03-08,Staff
82721,Arvind,Showalter,1992-04-25,Staff
82737,Kien,Mamelak,1994-02-01,Technique Leader
82747,Kankanahalli,Danlos,1995-01-21,Engineer
82751,Nirmal,Haumacher,1986-08-08,Senior Engineer
82760,Weiwu,Dulay,1987-12-12,Senior Engineer
82761,Mabry,Underwood,1986-01-22,Senior Staff
82774,Aral,Maierhofer,1988-02-28,Senior Staff
82808,Sumant,Reinhart,1985-09-11,Senior Engineer
82812,Heather,Morrey,1986-01-22,Senior Engineer
82815,Alper,Ranum,1988-05-25,Engineer
82821,Bokyung,Cappelletti,1987-02-17,Senior Engineer
82823,Geraldo,Alvarado,1992-11-21,Senior Engineer
82834,Kersti,Lieblein,1985-06-05,Senior Engineer
82835,Jaber,Dredge,1985-04-17,Assistant Engineer
82849,Makato,VanScheik,1985-10-12,Staff
82856,Hidefumi,Erez,1988-07-02,Engineer
82858,True,Taubman,1986-06-25,Senior Staff
82875,Domenick,Terekhov,1987-10-21,Senior Staff
82886,Rayond,Pettis,1990-04-29,Engineer
82893,Junsik,Unni,1988-07-20,Senior Staff
82895,Ramya,Peck,1992-01-25,Senior Engineer
82905,Domenick,Luks,1985-08-19,Engineer
82911,Irena,Bierman,1999-11-05,Staff
82944,Alois,Gomatam,1993-02-18,Technique Leader
82970,Qiwen,Servieres,1994-12-26,Staff
82979,Magdalena,Yeung,1999-03-24,Technique Leader
82981,Fayez,Mitina,1988-01-30,Senior Engineer
82992,Jixiang,Marwedel,1986-11-12,Senior Engineer
82996,Shahab,Ramras,1985-11-07,Engineer
82998,Mary,Linares,1985-03-26,Staff
83000,Apostol,Talmor,1986-08-26,Senior Engineer
83009,Francesca,Gerteisen,1988-01-16,Senior Staff
83018,Ohad,Kitsuregawa,1987-12-21,Senior Engineer
83035,Mart,Lamparter,1992-05-09,Technique Leader
83039,Yonghong,Facello,1995-06-16,Staff
83052,Henk,Whitcomb,1996-09-30,Engineer
83055,Kwun,Luon,1999-06-02,Staff
83056,Muneo,Pesch,1988-05-24,Engineer
83057,Niteen,Passafiume,1985-12-19,Senior Staff
83068,Cristinel,Kawashima,1995-10-28,Senior Engineer
83092,Bernt,Kranzdorf,1985-04-20,Senior Engineer
83106,Limsoon,Wossner,1985-10-20,Assistant Engineer
83123,Aemilian,Randt,1997-09-01,Staff
83125,Frederique,Staudhammer,1986-05-12,Engineer
83143,Luisa,Krupka,1992-04-18,Senior Engineer
83167,Nagui,Chachaty,1990-07-14,Senior Staff
83168,Yechiam,Danner,1987-07-08,Staff
83179,Jaques,Ermel,1997-08-31,Senior Staff
83189,Kristian,Birrer,1990-01-07,Engineer
83194,Vidar,Bridgland,1994-01-30,Senior Staff
83210,Seongbae,Zockler,1997-02-03,Senior Engineer
83230,Jaana,Lammel,1988-11-11,Engineer
83232,Satyanarayana,Chimia,1988-06-21,Senior Engineer
83233,Kerryn,Giarratana,1996-12-03,Engineer
83244,Constantine,Hiroyama,1986-09-18,Staff
83260,Premsyl,Markovitch,1987-06-25,Senior Staff
83284,Genta,Ghalwash,1985-12-12,Senior Engineer
83294,Gudjon,Petersohn,1997-06-21,Technique Leader
83296,Pascal,Lorin,1987-04-26,Technique Leader
83304,Lenore,Pocchiola,1985-09-14,Senior Staff
83310,Tsvetan,Valette,1989-05-02,Senior Engineer
83326,Rajmohan,Schlegelmilch,1987-06-01,Senior Engineer
83328,Ute,Demri,1998-08-30,Senior Engineer
83334,Arno,Thebaut,1985-05-31,Senior Staff
83336,Ewing,Zongker,1999-01-06,Staff
83342,King,Piancastelli,1993-06-09,Engineer
83348,Bokyung,Kuszyk,1986-09-16,Senior Engineer
83356,Vishwani,Begiun,1991-03-21,Engineer
83375,Anestis,Kenevan,1998-05-19,Assistant Engineer
83381,Dietrich,Borovoy,1987-05-07,Senior Engineer
83385,Berry,Falco,1991-05-10,Senior Staff
83392,Evgueni,Junet,1987-03-30,Senior Engineer
83408,Brewster,Pettey,1999-01-31,Senior Engineer
83411,Tonny,Swiss,1987-05-16,Senior Staff
83436,Ult,Serdy,1999-09-07,Assistant Engineer
83443,Shigeu,Nooteboom,1988-07-14,Engineer
83448,Heping,Polajnar,1992-05-19,Senior Staff
83468,Charlene,Beilner,1998-04-09,Staff
83476,Steve,Porenta,1989-10-22,Senior Staff
83477,Jayson,Frijda,1998-10-11,Engineer
83478,Goa,Budinsky,1986-04-06,Senior Staff
83493,Oksana,Danlos,1985-05-30,Senior Engineer
83506,Mohamadou,Lamma,1987-07-01,Engineer
83507,Shugo,Chimia,1987-08-22,Senior Staff
83515,Fay,Collavizza,1987-12-30,Senior Engineer
83531,DAIDA,Pezzoli,1990-02-22,Staff
83540,Rafail,Andreotta,1988-09-10,Technique Leader
83546,Maha,Kawashimo,1986-04-12,Engineer
83557,Elvis,Candan,1995-04-09,Engineer
83559,Mircea,Schmittgen,1996-06-29,Engineer
83565,Nevio,Beidas,1988-06-08,Senior Staff
83573,Slavian,Thummel,1986-04-16,Engineer
83574,Gonzalo,Masamoto,1985-10-10,Senior Staff
83576,Mayumi,Cronan,1987-12-19,Senior Engineer
83583,Guadalupe,Sethi,1988-01-20,Staff
83584,Bojan,Weiland,1986-02-14,Assistant Engineer
83585,Susuma,Himler,1988-12-03,Senior Engineer
83592,Georgy,Baek,1989-02-01,Engineer
83595,Divine,Koshino,1986-03-25,Senior Engineer
83600,Muzhong,Mayerwieser,1988-07-29,Senior Engineer
83614,Takanari,Schach,1985-10-05,Engineer
83626,Reuven,Maccarone,1987-02-01,Technique Leader
83629,Tamiya,Fabrizio,1987-06-10,Senior Engineer
83634,Danae,Randi,1985-06-24,Senior Staff
83643,Jinxi,Tsukune,1998-11-09,Engineer
83650,Mariangiola,Raoux,1988-03-13,Engineer
83669,Kasidit,Zlotek,1986-09-07,Senior Engineer
83698,Adib,Krohn,1985-11-17,Senior Staff
83699,Fayez,Luby,1999-06-09,Senior Staff
83715,Zeydy,Steinauer,1996-10-16,Engineer
83730,Dharmaraja,Lorie,1985-12-20,Senior Staff
83747,Kristine,Schwabacher,1985-08-26,Senior Staff
83748,Hyuncheol,Molberg,1991-07-30,Engineer
83753,Sachar,Liedekerke,1999-03-04,Engineer
83756,Constantijn,Esposito,1986-06-13,Engineer
83757,Radhia,Zielinski,1986-03-20,Senior Engineer
83768,Mark,Ariola,1986-03-05,Staff
83778,Premsyl,Nitto,1987-04-14,Senior Staff
83787,Xuejia,Lanzelotte,1985-08-19,Senior Staff
83792,Otmar,Nishimukai,1994-10-08,Senior Staff
83797,Kazuhisa,Fontan,1988-12-04,Senior Staff
83798,Shigeo,Kropp,1989-11-09,Senior Engineer
83804,Iara,Kragelund,1988-02-07,Senior Engineer
83806,Froduald,Kumaresan,1990-08-23,Engineer
83808,Danel,Setiz,1987-01-23,Senior Staff
83822,Menkae,Haddadi,1986-09-07,Assistant Engineer
83829,Cristinel,Zielinski,1986-03-15,Staff
83845,Franziska,Chleq,1988-02-26,Senior Staff
83849,Shaleah,Schwartzburd,1990-01-19,Senior Engineer
83850,Mooi,Bugaenko,1986-04-17,Senior Staff
83856,Udi,Ernst,1989-06-04,Staff
83858,Gregory,Matzke,1995-12-14,Engineer
83873,Jaihie,Bednarek,1987-04-14,Senior Staff
83875,Neelam,Herber,1987-09-17,Senior Staff
83881,Gino,Michaels,1995-05-09,Engineer
83887,Doohun,Ciolek,1985-03-17,Senior Staff
83895,Hyuncheol,Pettey,1988-03-27,Technique Leader
83898,Erzsebet,England,1985-09-04,Technique Leader
83905,Alejandra,Savasere,1987-05-13,Staff
83910,Zdislav,Flexer,1988-12-25,Technique Leader
83913,Xuejia,Mitsuhashi,1986-12-22,Engineer
83923,Bedir,Garnham,1996-02-13,Engineer
83928,Paraskevi,Apsitis,1987-10-30,Senior Staff
83934,Mabhin,Edelhoff,1986-12-13,Engineer
83947,Lucien,Usdin,1986-10-20,Senior Engineer
83949,Tomokazu,Biran,1998-01-13,Engineer
83968,Giap,Rando,1985-08-31,Senior Engineer
83977,Masali,Yetim,1993-03-19,Senior Staff
83980,Zhigen,Vrecion,1987-06-24,Engineer
83984,Mingsen,Pluym,1998-05-05,Staff
83986,Danae,Cusworth,1987-04-09,Staff
83988,Georg,Kruskal,1985-04-16,Staff
84000,Val,Antonakopoulos,1989-07-05,Senior Engineer
84001,Badri,Facello,1996-06-20,Engineer
84012,Marko,Salvesen,1995-10-02,Engineer
84021,Parviz,Bierbaum,1985-08-01,Senior Staff
84025,Ugo,Ariola,1987-01-20,Technique Leader
84042,Gita,Maraist,1988-09-15,Staff
84048,Lillian,Portugali,1985-06-21,Technique Leader
84051,Kirk,Taubman,1999-07-11,Staff
84059,Lidong,Hofting,1987-06-07,Engineer
84061,Khaled,Gopalakrishnan,1985-07-31,Staff
84062,Shuichi,Comyn,1985-07-17,Engineer
84066,Jianhui,Thambidurai,1987-08-15,Engineer
84093,Masamitsu,Cronau,1988-02-11,Engineer
84095,Ziyad,Boudaillier,1988-09-29,Staff
84098,Shalesh,Merle,1987-03-23,Staff
84114,Gaetan,Naudin,1996-08-26,Engineer
84137,Genevieve,Baik,1987-10-18,Senior Staff
84138,Jovan,Maginnis,1987-09-10,Senior Engineer
84144,Radhia,Wursthorn,1987-03-24,Senior Staff
84160,Jaideep,Sherertz,1995-08-16,Staff
84188,Serenella,Holburn,1988-11-05,Engineer
84202,Atreye,Serre,1985-10-29,Engineer
84214,Van,Chaudhuri,1987-05-14,Assistant Engineer
84219,DeForest,Vuskovic,1994-07-03,Senior Staff
84242,Tremaine,Panienski,1990-10-04,Staff
84255,Ramalingam,Nations,1986-06-05,Senior Staff
84260,Gunilla,Boreale,1991-11-09,Technique Leader
84263,Jackson,Henseler,1998-09-20,Senior Staff
84268,Kazuhira,Belinskaya,1985-05-22,Senior Engineer
84282,Saddek,Mateescu,1996-03-10,Engineer
84283,Gal,Slaats,1999-06-10,Engineer
84292,Leaf,Luff,1985-11-03,Senior Engineer
84305,Minghong,Kalloufi,1986-06-26,Senior Engineer
84318,Shin,Lally,1988-01-01,Senior Staff
84322,Berto,Gide,1992-09-28,Assistant Engineer
84331,Ziyad,Rousseau,1999-11-10,Staff
84334,Zdislav,Emden,1985-10-29,Staff
84340,Moriyoshi,Granlund,1992-08-15,Staff
84353,Genta,Pesch,1999-06-02,Staff
84362,JoAnne,Maccarone,1989-06-12,Technique Leader
84370,Fei,Reghbati,1986-03-08,Senior Staff
84382,Harjit,Wallrath,1987-10-18,Senior Engineer
84388,Chikako,Sifakis,1994-10-14,Engineer
84407,Chaoyi,Plessier,1993-01-17,Staff
84408,Itzchak,Kruskal,1986-12-01,Staff
84412,Somnath,Delgrande,1987-06-28,Senior Staff
84416,Satosi,Lanphier,1988-10-19,Senior Staff
84419,Hailing,Foote,1986-04-21,Senior Engineer
84421,Lokesh,Schaar,1992-09-24,Engineer
84427,IEEE,Valiente,1985-04-08,Senior Engineer
84459,Amalendu,Barreiro,1998-11-13,Engineer
84475,Kien,Erni,1997-03-01,Assistant Engineer
84487,Apostol,Hashii,1986-12-17,Engineer
84502,Murthy,Tomescu,1999-02-01,Engineer
84510,Matt,Leaver,1988-03-17,Technique Leader
84552,Pramod,Sidou,1999-04-29,Engineer
84553,Ekawit,Lamparter,1986-07-31,Senior Engineer
84568,Denny,Peltason,1989-02-22,Senior Engineer
84578,Shigeaki,Chorvat,1986-10-09,Senior Staff
84587,Sangeeta,Bressoud,1989-01-09,Senior Engineer
84596,Poornachandra,Picht,1986-05-26,Technique Leader
84600,Sham,Chachaty,1987-05-02,Engineer
84606,Gully,Kawashimo,1985-02-17,Senior Engineer
84626,Yonghong,Pena,1997-01-22,Engineer
84629,Heon,Kaltofen,1986-12-18,Senior Staff
84656,Danai,Lubachevsky,1986-09-27,Engineer
84662,Sanjeeva,Kalafatis,1992-10-03,Senior Staff
84671,Lenore,Dalphin,1987-03-28,Senior Engineer
84672,Mihalis,Lamparter,1988-07-29,Senior Staff
84685,Alejandra,Jullig,1992-07-13,Senior Engineer
84686,Rosli,Vieri,1987-07-23,Senior Engineer
84707,Odinaldo,Ushiama,1987-08-27,Assistant Engineer
84720,Akemi,Champarnaud,1991-02-07,Staff
84722,Hercules,Slutz,1985-12-11,Engineer
84725,Zejun,Boyle,1987-09-16,Senior Engineer
84734,Khedija,Kadhim,1987-07-27,Engineer
84743,Juichirou,Picaronny,1998-07-30,Assistant Engineer
84747,Yoshinari,Felcyn,1988-12-06,Senior Staff
84748,Jianhao,Crelier,1997-08-02,Engineer
84758,Toong,Usery,1987-07-10,Senior Engineer
84773,Naraig,Frolund,1986-02-07,Engineer
84797,Tadanori,Baig,1985-08-27,Technique Leader
84809,Hironoby,Zobel,1993-06-03,Senior Engineer
84821,Magy,Vieri,1998-05-07,Senior Staff
84827,Moheb,Schmittgen,1998-06-23,Engineer
84849,Kenroku,Carrera,1987-01-26,Senior Engineer
84860,Paris,Angot,1992-07-21,Senior Engineer
84883,Vishv,Khalil,1996-08-06,Senior Staff
84901,Lucien,Peak,1995-10-28,Staff
84907,Miomir,Smailagic,1987-11-22,Senior Staff
84910,Kaijung,Mondadori,1991-09-18,Staff
84916,Saddek,Jiafu,1985-06-27,Senior Staff
84917,Rafael,Fetvedt,1996-04-26,Engineer
84931,Basem,Sommer,1987-11-17,Staff
84933,Sailaja,Plessier,1987-08-28,Senior Engineer
84943,Hugo,Benantar,1988-11-02,Engineer
84945,DeForest,Hinsberger,1987-04-30,Staff
84974,Baocai,Pell,1993-06-06,Technique Leader
84976,Eran,Perez,1985-11-29,Staff
84982,Gino,Biron,1985-02-03,Staff
84983,Shigeo,Bashian,1985-07-09,Engineer
84994,Seongbae,Haraldson,1988-05-02,Staff
84999,Turgut,Koblitz,1988-10-04,Staff
85007,Tze,Hiyoshi,1990-10-19,Senior Staff
85015,Lijia,Lipner,1996-01-22,Senior Staff
85018,Marjo,Billingsley,1996-01-24,Engineer
85020,Tiina,Peir,1986-03-27,Staff
85024,Zeydy,Hmelo,1987-12-24,Senior Staff
85028,Ebru,Heydon,1998-01-20,Senior Staff
85033,Garnet,Luke,1985-04-03,Senior Staff
85040,Chikako,Legleitner,1991-02-11,Staff
85057,Charlene,Sadowsky,1987-05-17,Engineer
85062,Vasilis,Luks,1988-08-13,Senior Engineer
85080,Munir,Hofmeyr,1992-05-05,Engineer
85096,Xinglin,Feinberg,1998-02-08,Engineer
85109,Ottavia,Rebaine,1998-12-14,Assistant Engineer
85111,Sastry,Kavraki,1986-05-10,Senior Staff
85119,Xiaobin,Himler,1987-12-01,Senior Staff
85146,Hironobu,Nittel,1990-07-25,Senior Staff
85150,Olivera,Cangellaris,1988-04-06,Engineer
85154,Moss,Narahara,1986-04-24,Staff
85159,Kendra,Buescher,1993-06-06,Staff
85173,Stepehn,Coombs,1988-01-27,Senior Staff
85184,Gretta,Peng,1996-06-10,Engineer
85195,Jiafu,Quadeer,1986-11-12,Staff
85199,Souichi,Barbanera,1999-12-16,Engineer
85200,Ebbe,Serna,1990-05-19,Engineer
85202,Guttorm,Erdi,1985-09-17,Senior Engineer
85204,Moni,Silva,1993-12-27,Staff
85206,Shahar,Navazio,1986-01-22,Technique Leader
85210,Yolla,Openshaw,1987-01-20,Senior Staff
85215,Along,Detkin,1988-08-02,Senior Staff
85219,Anyuan,Zaiane,1999-01-31,Senior Engineer
85220,Kristin,Lipner,1994-01-25,Senior Staff
85225,Felicidad,Dulli,1997-07-28,Staff
85230,Gal,Demke,1998-08-29,Staff
85241,Martijn,Falck,1988-08-22,Staff
85242,Kirk,Ernst,1999-09-01,Staff
85256,Odinaldo,Kroha,1994-09-12,Senior Engineer
85258,Elzbieta,Schwabacher,1988-06-27,Senior Engineer
85264,Annemarie,Silva,1994-01-05,Senior Engineer
85267,Masaru,Winter,1990-01-21,Senior Staff
85278,Kamakshi,Karnin,1988-11-19,Senior Engineer
85281,Tamiya,Grospietsch,1985-08-09,Engineer
85295,Zvonko,Kroon,1987-09-15,Assistant Engineer
85300,Panayotis,Domenig,1986-11-27,Technique Leader
85318,Navid,Hanratty,1989-07-15,Senior Engineer
85325,Nagui,Kadhim,1988-07-14,Technique Leader
85344,Owen,Dayana,1991-01-20,Senior Staff
85347,Heeju,Prochazka,1986-08-04,Senior Staff
85353,Kien,Tasistro,1988-08-02,Senior Staff
85371,Suebskul,Lanphier,1990-08-29,Senior Staff
85374,Hairong,Herber,1992-07-02,Technique Leader
85377,Ishfaq,Vecchio,1986-04-25,Assistant Engineer
85385,Alper,Bennis,1986-03-24,Senior Staff
85391,Aleksander,Glinert,1997-01-02,Staff
85394,Sastry,Conta,1987-10-20,Engineer
85406,Serap,Matzke,1991-10-08,Senior Staff
85416,Haldun,Melton,1987-07-31,Senior Engineer
85433,Eberhardt,Stanfel,1986-03-18,Senior Engineer
85463,Kyoichi,Picht,1996-02-03,Engineer
85469,Sasan,Schmiedel,1988-06-23,Senior Engineer
85470,Domenick,Mahmud,1985-02-10,Technique Leader
85489,Adas,Zwicker,1988-09-12,Senior Staff
85494,Lech,Gulik,1985-08-16,Staff
85504,Ghassan,Streit,1990-04-08,Senior Engineer
85513,Yagil,Spieker,1988-04-11,Senior Staff
85524,Lillian,Tokunaga,1995-12-22,Engineer
85525,Chenyi,Schlenzig,1986-01-24,Staff
85526,Tzvetan,Frolund,1987-12-19,Senior Engineer
85532,Jinxi,Imataki,1993-03-04,Senior Engineer
85537,Tzu,Bernatsky,1989-05-26,Staff
85551,Mohit,Perry,1998-08-04,Technique Leader
85552,Atilio,Perko,1985-09-06,Senior Engineer
85555,Parke,Morrow,1999-07-14,Engineer
